suite_name,min,max,count,mean,p50,median,p75,p90,p95,p99,p999,strategy
pets,68,1366,156,172.1,144.0,144.0,175.9,228.2,391.6,539.2,561.2,Adaptive
pets,85,1184,156,195.4,190.6,190.6,223.7,247.2,262.5,327.1,354.3,Always
pets,37,795,156,59.6,43.4,43.4,49.9,62.2,90.9,441.5,620.3,Baseline
pets,79,1225,156,181.5,153.0,153.0,179.5,232.8,327.1,907.0,944.0,Never
wh-o,512,14929,160,8511.2,9607.1,9607.1,12213.1,14048.5,14332.3,14621.8,14621.8,Adaptive
wh-o,463,26239,160,12947.8,12711.5,12711.5,20958.1,24594.7,25598.5,26115.6,26115.6,Always
wh-o,32,4207,160,1703.3,2059.5,2059.5,2836.2,3197.8,3534.1,3828.5,3905.8,Baseline
wh-o,466,29876,150,14607.5,14917.2,14917.2,22254.1,26643.2,28862.3,30040.3,30040.3,Never
wh-r,8964,10424,4,9651.0,9416.8,9416.8,9801.2,9801.2,9801.2,9801.2,9801.2,Adaptive
wh-r,9061,10527,4,9872.0,9416.8,9416.8,10407.3,10407.3,10407.3,10407.3,10407.3,Always
wh-r,9050,10220,4,9379.5,9047.6,9047.6,9047.6,9047.6,9047.6,9047.6,9047.6,Baseline
wh-r,9170,10135,4,9769.8,9801.2,9801.2,9999.2,9999.2,9999.2,9999.2,9999.2,Never
